name;type
University of Maine (Le Mans);university
University of Vigo;university
UBS;company
University of Arizona;university
Ajou University;university
University of California, Los Angeles;university
Tokyo Institute of Technology;university
University of MÃ¡laga;university
Sherwin-Williams;company
Nagoya City University;university
Ã‰cole normale supÃ©rieure - Paris;university
King's College London;university
West Virginia University;university
University of California, Riverside;university
Federal University of SÃ£o Paulo;university
Imperial College London;university
Case Western Reserve University;university
Mississippi State University;university
National University of Ireland, Maynooth;university
LSU Health Sciences Center New Orleans;university
San Francisco State University;university
Wuhan University;university
Rio de Janeiro State University;university
ASML Holding;company
University of Guelph;university
AXA Group;company
Korea University;university
Loyola University Chicago;university
University of Maryland, Baltimore County;university
Shanghai University;university
University of Texas at Dallas;university
National Technical University of Athens;university
Creighton University;university
National University of Colombia;university
University of Minho;university
University at Albany, SUNY;university
Central China Normal University;university
University of Iowa;university
Federal University of SÃ£o Carlos;university
University of Calabria;university
University of Picardie Jules Verne;university
University of Caen Lower Normandy;university
Federal University of Rio Grande do Sul;university
University of Oulu;university
University of California, Davis;university
PTT;company
Sogang University;university
Haier Smart Home;company
Missouri University of Science and Technology;university
KBC Group;company
University of Rochester;university
State Street;company
Power Construction Corporation of China;company
Blaise Pascal University;university
Catholic University of the Sacred Heart;university
Royal Holloway, University of London;university
Peking Union Medical College;university
National Chung Hsing University;university
Philip Morris International;company
University of York;university
Indian Institute of Technology Roorkee;university
Daikin Industries;company
Northrop Grumman;company
University of Science and Technology Beijing;university
Bar-Ilan University;university
Warsaw University of Technology;university
American International Group;company
University of York;university
Wilmar International;company
Lomonosov Moscow State University;university
University of California, Merced;university
Wuhan University of Technology;university
University of Turin;university
Edp-energias De Portugal;company
University of Szeged;university
Keurig Dr Pepper;company
Kyung Hee University;university
IntercontinentalExchange;company
Chungbuk National University;university
University of Arkansas - Fayetteville;university
University of Montana - Missoula;university
Auburn University;university
University of OsnabrÃ¼ck;university
Tottori University;university
University of Florida;university
University of CÃ¡diz;university
Etisalat;company
Federal University of Rio Grande do Sul;university
Enel;company
University of Mississippi Medical Center;university
California Institute of Technology;university
University of Valenciennes and Hainaut-Cambresis;university
Intel;company
UniversitÃ© de Namur;university
University of California, Davis;university
Drexel University;university
King's College London;university
University of Texas MD Anderson Cancer Center;university
University of Pittsburgh - Pittsburgh Campus;university
University of Sydney;university
University of Regensburg;university
Swiss Federal Institute of Technology in Zurich;university
Feng Chia University;university
Hamamatsu University School of Medicine;university
Vrije Universiteit Brussel;university
Duke University;university
Second Military Medical University;university
CRH;company
University of the Ryukyus;university
Ankara University;university
Nicolaus Copernicus University in ToruÅ„;university
University of Palermo;university
Oregon State University;university
China Shenhua Energy;company
Purdue University, West Lafayette;university
University of California, San Diego;university
Queensland University of Technology;university
Daiwa House Industry;company
Samsung C&T;company
Volkswagen Group;company
Nomura;company
University of Mississippi - Oxford Campus;university
LSU Health Sciences Center New Orleans;university
University of Nebraska Omaha;university
Poly Developments & Holdings Group;company
Eni;company
Cardiff University;university
University of Colorado Denver;university
University of Alberta;university
University of Bern;university
Peking Union Medical College;university
University of North Carolina at Greensboro;university
Zijin Mining Group;company
University of ConcepciÃ³n;university
Karolinska Institute;university
University of Copenhagen;university
Yanbian University;university
Feng Chia University;university
Stanford University;university
Simon Fraser University;university
University of Texas MD Anderson Cancer Center;university
Heriot-Watt University;university
Yale University;university
Samsung Electronics;company
Leiden University;university
"University of Eastern Piedmont ""Amedeo Avogadro"",Italy,33,367,567,218,693,623,645,540,739,44.46,2015
631,""Open University (UK)";university
Graz University of Technology;university
Chevron;company
Nanjing University of Science and Technology;university
University of SÃ£o Paulo;university
California Institute of Technology;university
University of Vermont;university
Amgen;company
James Cook University;university
Nanjing Agricultural University;university
Harvard University;university
Tongji University;university
Bilkent University;university
University of Girona;university
Xiangtan University;university
Anhui Conch Cement;company
Sun Life Financial;company
Bowling Green State University;university
Polytechnic University of Turin;university
Exelon;company
University of North Carolina at Charlotte;university
Complutense University of Madrid;university
University of Eastern Finland;university
Hokkaido University;university
University of Pavia;university
Imperial College London;university
Baidu;company
General Motors;company
Amirkabir University of Technology;university
Sunac China Holdings;company
University of Hong Kong;university
University of Fribourg;university
University of Alabama at Birmingham;university
Huazhong Agricultural University;university
University of Belgrade;university
University of California, Los Angeles;university
St George's, University of London;university
National Chung Hsing University;university
Gwangju Institute of Science and Technology;university
Case Western Reserve University;university
University of Cambridge;university
Fosun International;company
Pierre-and-Marie-Curie University;university
Shimane University;university
Free University of Berlin;university
Florida International University;university
Vilnius University;university
Capital Medical University;university
University of Science and Technology Beijing;university
Honeywell International;company
University of California, Berkeley;university
Infosys;company
Prudential Financial;company
University of Bristol;university
Kumamoto University;university
Illinois Institute of Technology;university
China Pharmaceutical University;university
SAIC Motor;company
Curtin University;university
National Taiwan Normal University;university
Ibaraki University;university
Korea Advanced Institute of Science and Technology (KAIST);university
Ewha Womans University;university
University of Virginia;university
University of Ljubljana;university
University of Calcutta;university
University of Lleida;university
Sany Heavy Industry;company
University of Pisa;university
Boston University;university
University of Geneva;university
University of Southern Denmark;university
Yale University;university
Ã‰cole Polytechnique;university
University of New England (Australia);university
Roma Tre University;university
Istanbul Technical University;university
Federal University of Santa Maria;university
Hitachi;company
University of Siegen;university
Japan Tobacco;company
Bank Of Shanghai;company
University of Birmingham;university
University of Ulsan;university
CNP Assurances;company
University of California, Irvine;university
BYD;company
University of Malaya;university
University of Aveiro;university
Chalmers University of Technology;university
Ericsson;company
Dresden University of Technology;university
University of Rochester;university
Kent State University;university
Bielefeld University;university
Albert Ludwig University of Freiburg;university
Tohoku University;university
University of Science and Technology of China;university
Claude Bernard University Lyon 1;university
Tampere University of Technology;university
University of Washington - Seattle;university
Sompo;company
KÅchi University;university
Gwangju Institute of Science and Technology;university
Pohang University of Science and Technology;university
University of LiÃ¨ge;university
Rush University;university
University of Seville;university
Oversea-Chinese Banking;company
University of Leicester;university
Chosun University;university
Midea Group;company
Tohoku University;university
National and Kapodistrian University of Athens;university
Royal College of Surgeons in Ireland;university
Danaher;company
CTBC Financial;company
University of Paris 13;university
Air Liquide;company
University of Sussex;university
Edison International;company
Tarbiat Modares University;university
Federal University of Minas Gerais;university
University of Extremadura;university
Lam Research;company
Ocean University of China;university
University of North Carolina at Greensboro;university
Nippon Telegraph & Tel;company
Tianjin University;university
Ben-Gurion University of the Negev;university
New York University;university
Hartford Financial Services;company
University of North Texas, Denton;university
University of Minho;university
City University London;university
Ford Motor;company
University of Texas MD Anderson Cancer Center;university
Banco Bradesco;company
Kobe University;university
University of Verona;university
London School of Economics;university
Federal University of Santa Maria;university
Apple;company
Utah State University;university
University of Nottingham;university
Takeda Pharmaceutical;company
Stanford University;university
University of California, Davis;university
Novartis;company
University of Canterbury;university
University of Tasmania;university
University of Seoul;university
Swinburne University of Technology;university
Korea Advanced Institute of Science and Technology (KAIST);university
Warsaw University of Technology;university
University of Chile;university
Harbin Institute of Technology;university
University of Waikato;university
University of Paris-Sud;university
Medical University of South Carolina;university
University of Manchester;university
Jawaharlal Nehru Centre for Advanced Scientific Research;university
Michigan State University;university
Hannover Medical School;university
National Cheng Kung University;university
University of Central Florida;university
Nara Institute of Science and Technology;university
Sun Yat-sen University;university
Swansea University;university
Northwestern Polytechnical University;university
University of Tasmania;university
Virginia Polytechnic Institute and State University;university
University of Texas at Dallas;university
University of Lausanne;university
EÃ¶tvÃ¶s LorÃ¡nd University;university
TD Bank Group;company
University of Hohenheim;university
Tencent Holdings;company
Brown University;university
Bank of Beijing;company
Loughborough University;university
University of British Columbia;university
Eaton;company
University of Missouriâ€“Columbia;university
University of Ulm;university
Beijing Normal University;university
Oracle;company
Complutense University of Madrid;university
Tohoku University;university
Taiwan Semiconductor;company
Weizmann Institute of Science;university
Credit Agricole;company
Uppsala University;university
Queen Mary University of London;university
Hasselt University;university
Syracuse University;university
Ocean University of China;university
